/SiMCosta RJ - Ilha do Pai - Cia de Docas
/latitude = -22.99277544
/longitude = -43.09056758



/Parameters:
/Tp: Wave Peak Period  or Peak period = Wave period associated with the largest peak in the power spectrum (seconds)
/Dp: Wave Peak Direction *true north reference (degrees)
/Tp_sea: Peak Sea Wave Period associated with the largest peak in the sea region of the power spectrum. (seconds)
/Dp_sea: Peak Sea Wave Direction - peak sea direction at the peak period in the sea region relative to true north reference (degrees)
/Hsig_sea: Significant Wave Height in the sea region of the power spectrum. (meters)
/Tp_swell: Peak Swell Wave Period associated with the largest peak in the swell region of the power spectrum. (seconds)
/Dp_swell: Peak Swell Wave Direction associated with the largest peak in the swell region of the power spectrum. true north reference (degrees)
/Hsig_swell: Significant Wave Height in the swell region of the power spectrum. (meters)
/Hmax: Maximum Wave Height or Height of Largest Wave from Zero Crossing Analysis (meters)
/Tmax: Maximum Wave Height or Period of Largest Wave from Zero Crossing Analysis (seconds)
/Tavg: Average Wave Period (seconds)
/Avg_Wv_Dir_N: Average Wave Direction, true north reference (degrees)
/HM0: Significant Wave Height Spectral Moment (meters)
/Tmp: Average Water Temperature (degree Celsius)
/Avg_Sal: Average Salinity (psu)
/Avg_Con: Average Conductivity (mS/cm)
/Avg_PH: Average pH (mV)
/Avg_Turb: Average Turbidity (FNU)

/Missing = NULL
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Tp,Dp,Tp_sea,Dp_sea,Hsig_sea,Tp_swell,Dp_swell,Hsig_swell,Hmax,Tmax,Tavg,Avg_Wv_Dir_N,HM0,Tmp,Avg_Sal,Avg_Con,Avg_PH,Avg_Turb
2024,1,17,0,0,0,12.19,173.85,7.31,115.79,0.77,12.19,173.85,0.507,1.41,8.75,4.75,133.95,0.92,NULL,NULL,NULL,NULL,NULL
2024,1,17,0,10,0,12.19,165.65,8.53,134.48,0.79,12.19,165.65,0.49,1.36,9,4.44,130.83,0.93,NULL,NULL,NULL,NULL,NULL
2024,1,17,0,20,0,11.64,156.67,8.83,135.33,0.81,11.64,156.67,0.526,1.38,8,5.37,126.81,0.97,NULL,NULL,NULL,NULL,NULL
2024,1,17,0,30,0,11.64,154.37,9.14,143.1,0.83,11.64,154.37,0.501,1.18,9.75,4.51,122.49,0.97,NULL,NULL,NULL,NULL,NULL
2024,1,17,0,50,0,10.67,154.55,8.26,141.84,0.78,10.67,154.55,0.48,1.18,9.25,4.5,127.42,0.92,NULL,NULL,NULL,NULL,NULL
2024,1,17,1,0,0,12.19,165.6,8.53,151.19,0.79,12.19,165.6,0.513,1.46,9.25,5.06,130.19,0.94,NULL,NULL,NULL,NULL,NULL
2024,1,17,1,20,0,12.19,165.06,7.76,108.37,0.85,12.19,165.06,0.472,1.31,6.75,4.8,125.85,0.97,NULL,NULL,NULL,NULL,NULL
2024,1,17,1,30,0,11.64,165.38,7.53,109.66,0.84,11.64,165.38,0.446,1.31,10.5,4.78,123.15,0.95,NULL,NULL,NULL,NULL,NULL
2024,1,17,1,40,0,7.76,109.35,7.76,109.35,0.86,10.67,173.2,0.425,1.29,6.75,4.75,121.49,0.96,NULL,NULL,NULL,NULL,NULL
2024,1,17,1,50,0,11.64,163.8,8,120.98,0.85,11.64,163.8,0.407,1.22,4,4.64,118.32,0.94,NULL,NULL,NULL,NULL,NULL
